student_id,sleep_start_time,sleep_end_time,sleep_duration_hrs,sleep_needed_hrs,sleep_performance_pct,sleep_efficiency_pct,rem_sleep_hrs,sws_deep_sleep_hrs,light_sleep_hrs,awake_hrs,sleep_consistency_pct,respiratory_rate_rpm
S003,2024-09-02T22:04:00,2024-09-03T08:40:00,4.29,8.58,50.0,82.7,0.61,0.9,2.36,0.42,61.50769860496223,15.9
S003,2024-09-03T23:00:00,2024-09-04T07:15:00,4.58,7.78,58.8,77.7,0.86,0.91,2.52,0.28,69.18899931100896,16.5
S003,2024-09-04T23:17:00,2024-09-05T06:47:00,5.39,7.63,70.6,84.5,1.14,0.91,2.97,0.37,79.75817047240807,15.2
S003,2024-09-05T21:14:00,2024-09-06T06:53:00,3.0,7.73,38.7,88.0,0.64,0.3,1.65,0.41,72.03188401352017,16.8
S003,2024-09-06T23:02:00,2024-09-07T08:23:00,5.72,8.16,70.1,95.9,1.09,0.87,3.14,0.61,57.83571336649509,15.2
S003,2024-09-07T23:17:00,2024-09-08T08:14:00,4.44,8.85,50.2,86.8,1.12,0.65,2.44,0.24,72.00669122985236,15.4
S003,2024-09-08T21:29:00,2024-09-09T05:44:00,4.16,7.93,52.4,89.4,0.9,0.56,2.29,0.41,91.50083875743606,15.2
S003,2024-09-09T22:39:00,2024-09-10T07:11:00,5.28,8.6,61.4,88.5,1.09,1.02,2.9,0.27,63.57859472595186,15.6
S003,2024-09-10T22:23:00,2024-09-11T08:17:00,3.77,8.1,46.6,83.3,0.96,0.74,1.89,0.19,90.06926523534199,14.9
S003,2024-09-11T21:35:00,2024-09-12T08:54:00,5.88,8.6,68.3,86.8,1.44,0.71,3.23,0.49,67.06268387273796,16.1
S003,2024-09-12T23:33:00,2024-09-13T07:50:00,6.06,7.94,76.3,89.3,1.19,0.48,3.33,1.05,72.09981342719495,15.3
S003,2024-09-13T21:52:00,2024-09-14T07:30:00,5.48,8.08,67.8,86.5,1.31,1.06,2.83,0.27,74.86408696364309,15.5
S003,2024-09-14T22:07:00,2024-09-15T07:55:00,5.37,7.69,69.8,83.1,1.39,1.04,2.67,0.27,61.75256369318374,15.4
S003,2024-09-15T22:22:00,2024-09-16T07:43:00,3.92,7.49,52.4,84.0,0.44,0.6,2.16,0.73,51.32577621868797,15.7
S003,2024-09-16T23:51:00,2024-09-17T07:26:00,4.94,8.05,61.4,82.9,0.94,1.27,2.48,0.25,65.49209285224413,15.2
S003,2024-09-17T22:41:00,2024-09-18T07:45:00,4.25,8.09,52.6,86.1,1.0,0.87,2.17,0.21,70.10874744627208,16.8
S003,2024-09-18T22:10:00,2024-09-19T06:54:00,5.23,8.43,62.0,91.7,1.0,0.48,2.87,0.88,55.825006719622,16.9
S003,2024-09-19T21:25:00,2024-09-20T05:06:00,5.68,7.5,75.7,75.9,1.22,0.93,3.12,0.4,94.69420191152079,16.4
S003,2024-09-20T21:05:00,2024-09-21T08:19:00,5.14,7.97,64.4,79.9,1.34,1.06,2.47,0.26,76.67754107838127,15.9
S003,2024-09-21T21:42:00,2024-09-22T07:55:00,7.35,7.81,94.1,89.1,1.44,1.29,4.04,0.57,92.66252608771441,15.1
S003,2024-09-22T23:11:00,2024-09-23T08:40:00,3.02,8.17,37.0,94.9,0.6,0.74,1.53,0.15,93.93696868619537,15.8
S003,2024-09-23T22:34:00,2024-09-24T06:51:00,2.94,7.48,39.4,91.4,0.4,0.48,1.62,0.45,80.70740509598613,16.1
