student_id,sleep_start_time,sleep_end_time,sleep_duration_hrs,sleep_needed_hrs,sleep_performance_pct,sleep_efficiency_pct,rem_sleep_hrs,sws_deep_sleep_hrs,light_sleep_hrs,awake_hrs,sleep_consistency_pct,respiratory_rate_rpm
S002,2024-09-02T23:57:00,2024-09-03T07:41:00,6.8,7.96,85.4,98.9,1.51,1.05,3.74,0.5,81.51960211922966,16.1
S002,2024-09-03T21:30:00,2024-09-04T05:55:00,6.47,7.66,84.5,89.3,1.2,1.15,3.56,0.56,81.99221719891193,15.2
S002,2024-09-04T23:24:00,2024-09-05T07:26:00,5.51,7.67,71.9,83.3,1.25,1.1,2.89,0.28,94.2048875101701,16.3
S002,2024-09-05T22:55:00,2024-09-06T06:49:00,6.93,8.2,84.5,81.4,1.72,1.5,3.36,0.35,64.65172541859141,16.4
S002,2024-09-06T21:48:00,2024-09-07T06:36:00,6.94,8.35,83.1,87.6,1.81,1.36,3.42,0.35,73.26476052307865,15.0
S002,2024-09-07T22:00:00,2024-09-08T05:34:00,6.54,7.83,83.5,81.6,1.19,0.62,3.6,1.13,89.74864947100536,16.0
S002,2024-09-08T23:00:00,2024-09-09T06:14:00,7.42,8.35,88.8,88.5,1.73,1.17,4.08,0.45,68.16907436838662,15.2
S002,2024-09-09T22:29:00,2024-09-10T07:27:00,7.18,8.29,86.6,84.9,1.49,1.4,3.93,0.36,62.9689271724326,17.6
S002,2024-09-10T22:01:00,2024-09-11T06:14:00,4.37,7.53,58.1,98.8,0.89,0.87,2.39,0.22,71.0901243265631,15.4
S002,2024-09-11T23:16:00,2024-09-12T05:38:00,6.37,7.47,85.2,90.8,1.61,1.1,3.33,0.32,69.31424712000289,16.8
S002,2024-09-12T22:07:00,2024-09-13T07:30:00,6.45,7.95,81.1,87.0,1.32,0.91,3.55,0.67,69.57581586796587,15.3
S002,2024-09-13T23:08:00,2024-09-14T08:53:00,6.45,7.95,81.1,85.6,1.47,0.8,3.55,0.63,69.86751068842203,16.5
S002,2024-09-14T23:12:00,2024-09-15T07:53:00,5.79,7.76,74.6,84.7,1.33,0.78,3.18,0.5,64.03093571650906,15.7
S002,2024-09-15T22:15:00,2024-09-16T05:00:00,6.26,7.68,81.5,94.8,1.45,1.28,3.22,0.31,98.93059985407552,15.1
S002,2024-09-16T23:04:00,2024-09-17T05:57:00,4.58,8.3,55.2,80.3,1.05,0.89,2.41,0.23,71.67795244071432,16.3
S002,2024-09-17T22:23:00,2024-09-18T07:27:00,7.34,7.98,92.0,85.3,1.64,1.36,3.97,0.37,75.0304675820322,15.8
S002,2024-09-18T21:21:00,2024-09-19T07:57:00,6.05,8.01,75.6,86.2,1.55,0.8,3.33,0.38,56.53089942139381,16.2
S002,2024-09-19T22:53:00,2024-09-20T08:44:00,6.82,7.88,86.6,89.5,1.34,0.66,3.75,1.06,89.93939936994175,16.5
S002,2024-09-20T21:54:00,2024-09-21T06:06:00,5.05,7.58,66.7,79.4,1.35,1.11,2.34,0.25,58.14055662775104,16.3
S002,2024-09-21T23:56:00,2024-09-22T06:30:00,6.99,7.43,94.0,90.5,1.78,1.21,3.64,0.35,74.25214562607984,16.1
S002,2024-09-22T23:55:00,2024-09-23T06:42:00,6.27,7.9,79.3,89.0,1.36,1.34,3.24,0.31,82.14704848091316,15.2
S002,2024-09-23T23:24:00,2024-09-24T06:53:00,5.97,7.49,79.8,79.2,1.47,0.72,3.29,0.49,74.00714432935087,16.5
S002,2024-09-24T22:54:00,2024-09-25T08:55:00,4.63,7.95,58.2,87.4,1.22,0.75,2.43,0.23,82.14857045957706,16.8
S002,2024-09-25T21:05:00,2024-09-26T08:28:00,6.12,8.32,73.5,86.7,1.63,0.87,3.3,0.31,68.34784297325572,16.0
S002,2024-09-26T23:01:00,2024-09-27T05:25:00,5.47,8.27,66.1,82.9,1.39,1.16,2.64,0.27,58.949345231328294,16.3
S002,2024-09-27T21:41:00,2024-09-28T08:21:00,6.94,8.0,86.7,81.4,1.29,1.14,3.82,0.69,85.46611069544294,15.6
