date,meal,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,water_ml,food_notes
2024-09-02,Lunch,635,31.8,79.4,21.2,6.8,19.8,946,361,
2024-09-02,Snacks,225,11.3,28.2,7.5,2.4,7.0,336,128,
2024-09-03,Breakfast,940,47.0,117.6,31.3,8.3,28.8,586,672,
2024-09-03,Dinner,791,39.5,98.9,26.4,7.0,24.2,493,565,
2024-09-03,Snacks,296,14.8,37.0,9.9,2.6,9.1,185,212,
2024-09-05,Breakfast,330,16.5,41.3,11.0,3.7,13.7,335,409,
2024-09-05,Dinner,497,24.9,62.1,16.6,5.6,20.7,504,615,
2024-09-05,Snacks,181,9.1,22.6,6.0,2.0,7.5,183,224,
2024-09-06,Lunch,649,32.4,81.1,21.6,5.3,18.5,1074,571,
2024-09-06,Dinner,667,33.3,83.4,22.2,5.4,19.0,1104,587,
2024-09-06,Snacks,169,8.4,21.1,5.6,1.4,4.8,280,149,
2024-09-09,Breakfast,304,15.2,37.9,10.1,3.1,12.5,653,276,
2024-09-09,Lunch,487,24.3,60.8,16.2,5.0,20.1,1046,442,
2024-09-09,Dinner,456,22.8,57.0,15.2,4.7,18.8,980,414,
2024-09-10,Lunch,762,38.1,95.3,25.4,6.3,34.4,772,548,
2024-09-12,Breakfast,519,26.0,64.9,17.3,4.1,23.8,773,392,
2024-09-12,Lunch,570,28.5,71.3,19.0,4.5,26.2,849,430,
2024-09-12,Snacks,130,6.5,16.3,4.3,1.0,6.0,194,98,
2024-09-14,Breakfast,457,22.9,57.2,15.3,2.8,10.2,559,405,
2024-09-14,Lunch,783,39.2,97.8,26.1,4.8,17.5,956,694,
2024-09-14,Dinner,606,30.3,75.7,20.2,3.7,13.5,740,537,
2024-09-14,Snacks,123,6.2,15.4,4.1,0.8,2.7,150,109,
2024-09-15,Breakfast,466,23.3,58.2,15.5,3.7,18.7,356,559,
2024-09-15,Lunch,655,32.8,81.9,21.8,5.2,26.3,501,786,
2024-09-16,Lunch,902,45.1,112.8,30.1,4.4,39.7,710,886,
2024-09-16,Dinner,700,35.0,87.5,23.3,3.4,30.8,551,688,
2024-09-16,Snacks,263,13.2,32.9,8.8,1.3,11.6,207,259,
2024-09-17,Breakfast,562,28.1,70.2,18.7,4.7,22.5,416,412,
2024-09-17,Lunch,679,34.0,84.9,22.6,5.7,27.2,502,498,
2024-09-17,Dinner,791,39.6,98.9,26.4,6.7,31.7,585,581,
2024-09-18,Lunch,1113,55.6,139.1,37.1,4.9,20.2,1285,595,
2024-09-18,Dinner,750,37.5,93.7,25.0,3.3,13.6,866,401,
2024-09-18,Snacks,134,6.7,16.7,4.5,0.6,2.4,154,71,
2024-09-19,Breakfast,348,17.4,43.5,11.6,1.9,11.9,271,332,
2024-09-19,Lunch,806,40.3,100.7,26.8,4.5,27.6,626,769,
2024-09-19,Dinner,663,33.2,82.9,22.1,3.7,22.7,516,633,
2024-09-19,Snacks,113,5.7,14.2,3.8,0.6,3.9,88,108,
2024-09-20,Breakfast,418,20.9,52.2,13.9,3.4,11.7,825,494,
2024-09-20,Lunch,500,25.0,62.5,16.6,4.1,14.0,987,592,
2024-09-22,Dinner,662,33.1,82.8,22.1,5.8,24.5,729,439,
2024-09-22,Snacks,238,11.9,29.8,7.9,2.1,8.8,262,158,
2024-09-23,Breakfast,480,24.0,60.0,16.0,2.6,18.1,613,355,
2024-09-23,Lunch,648,32.4,81.0,21.6,3.6,24.4,827,479,
2024-09-23,Dinner,507,25.3,63.4,16.9,2.8,19.1,648,375,
2024-09-24,Breakfast,616,30.8,76.9,20.5,7.3,9.4,543,556,
2024-09-24,Lunch,835,41.7,104.3,27.8,9.9,12.8,736,754,
2024-09-24,Dinner,646,32.3,80.7,21.5,7.7,9.9,569,583,
2024-09-24,Snacks,247,12.3,30.8,8.2,2.9,3.8,217,223,
2024-09-25,Breakfast,592,29.6,74.0,19.7,6.1,21.6,623,572,
2024-09-25,Lunch,635,31.7,79.3,21.1,6.6,23.1,668,613,
2024-09-25,Dinner,632,31.6,79.0,21.0,6.6,23.0,665,610,
2024-09-25,Snacks,179,9.0,22.4,6.0,1.9,6.5,189,173,
2024-09-26,Breakfast,485,24.2,60.6,16.2,3.6,15.2,626,417,
2024-09-26,Lunch,670,33.5,83.8,22.3,5.0,21.0,865,577,
2024-09-26,Dinner,557,27.8,69.6,18.6,4.1,17.4,719,479,
2024-09-26,Snacks,90,4.5,11.2,3.0,0.7,2.8,116,77,
2024-09-27,Breakfast,255,12.8,31.9,8.5,2.3,9.1,453,207,
2024-09-27,Dinner,483,24.2,60.4,16.1,4.3,17.3,856,392,
2024-09-27,Snacks,222,11.1,27.8,7.4,2.0,8.0,394,180,
2024-09-28,Breakfast,487,24.4,60.9,16.3,4.1,13.1,590,346,
2024-09-28,Dinner,645,32.2,80.6,21.5,5.4,17.3,781,458,
2024-09-28,Snacks,317,15.8,39.6,10.6,2.7,8.5,384,225,
2024-09-30,Dinner,772,38.6,96.5,25.7,5.9,20.9,743,1029,
2024-09-30,Snacks,264,13.2,33.0,8.8,2.0,7.1,254,352,
2024-10-01,Breakfast,462,23.1,57.7,15.4,2.5,18.5,571,437,
2024-10-01,Lunch,567,28.3,70.8,18.9,3.0,22.7,700,536,
2024-10-01,Dinner,614,30.7,76.8,20.5,3.3,24.7,759,581,
2024-10-01,Snacks,102,5.1,12.8,3.4,0.5,4.1,127,97,
2024-10-02,Breakfast,584,29.2,73.0,19.5,7.0,24.3,837,336,
2024-10-02,Lunch,567,28.3,70.9,18.9,6.8,23.6,812,327,
2024-10-02,Dinner,522,26.1,65.3,17.4,6.3,21.7,748,301,
2024-10-03,Breakfast,544,27.2,68.0,18.1,3.3,7.4,747,451,
2024-10-03,Lunch,808,40.4,101.0,26.9,5.0,11.0,1110,670,
2024-10-03,Dinner,695,34.7,86.8,23.2,4.3,9.5,954,576,
2024-10-04,Breakfast,464,23.2,57.9,15.4,3.5,22.0,592,401,
2024-10-04,Lunch,531,26.6,66.4,17.7,4.0,25.2,678,460,
2024-10-04,Snacks,203,10.1,25.3,6.7,1.5,9.6,258,175,
2024-10-05,Breakfast,494,24.7,61.7,16.5,3.6,16.8,694,472,
2024-10-05,Lunch,548,27.4,68.5,18.3,4.0,18.7,770,523,
2024-10-06,Breakfast,400,20.0,50.0,13.3,5.2,18.8,622,421,
2024-10-06,Lunch,604,30.2,75.5,20.1,7.8,28.3,940,636,
2024-10-06,Dinner,582,29.1,72.7,19.4,7.5,27.3,905,612,
2024-10-06,Snacks,230,11.5,28.8,7.7,3.0,10.8,359,243,
2024-10-07,Breakfast,539,27.0,67.4,18.0,3.7,17.7,670,452,
2024-10-07,Lunch,678,33.9,84.8,22.6,4.6,22.3,843,568,
2024-10-07,Dinner,590,29.5,73.8,19.7,4.0,19.4,733,495,
2024-10-07,Snacks,265,13.2,33.1,8.8,1.8,8.7,329,222,
2024-10-08,Breakfast,452,22.6,56.5,15.1,3.4,24.8,717,485,
2024-10-08,Lunch,549,27.5,68.7,18.3,4.2,30.1,871,590,
2024-10-08,Dinner,589,29.4,73.6,19.6,4.5,32.3,934,633,
2024-10-12,Breakfast,398,19.9,49.8,13.3,5.0,25.1,451,519,
2024-10-12,Lunch,631,31.6,78.9,21.0,7.9,39.8,716,823,
2024-10-12,Dinner,462,23.1,57.8,15.4,5.8,29.1,524,603,
2024-10-12,Snacks,152,7.6,19.0,5.1,1.9,9.6,172,198,
2024-10-13,Breakfast,453,22.7,56.7,15.1,3.3,14.3,497,348,
2024-10-13,Lunch,1052,52.6,131.5,35.1,7.7,33.1,1153,807,
2024-10-13,Dinner,739,37.0,92.4,24.7,5.4,23.2,811,567,
2024-10-14,Breakfast,658,32.9,82.3,22.0,3.8,26.2,570,497,
2024-10-14,Lunch,752,37.6,94.0,25.1,4.3,29.9,651,568,
2024-10-14,Dinner,664,33.2,83.0,22.1,3.8,26.4,574,501,
2024-10-15,Breakfast,541,27.0,67.6,18.0,6.3,23.4,462,332,
