student_id,workout_start_time,sport,workout_strain,duration_min,avg_heart_rate_bpm,max_heart_rate_bpm,calories_burned,distance_km
S002,2024-09-04T12:25:00,Basketball,7.42,57,134,167,303,
S002,2024-09-05T18:30:00,Running,6.02,56,108,160,369,7.35
S002,2024-09-08T07:53:00,HIIT,2,28,141,162,240,7.43
S002,2024-09-10T17:22:00,HIIT,8.35,43,158,177,344,
S002,2024-09-13T10:31:00,Yoga,7.81,59,147,188,435,6.81
S002,2024-09-14T09:51:00,Swimming,9.73,35,125,165,227,5.8
S002,2024-09-17T13:58:00,Yoga,8.24,55,157,185,472,
S002,2024-09-18T18:06:00,HIIT,11.9,43,118,158,451,
S002,2024-09-21T19:47:00,Swimming,11.61,43,153,166,361,3.31
S002,2024-09-23T07:07:00,Weightlifting,8.7,49,143,177,448,2.97
S002,2024-09-25T15:24:00,Basketball,8.39,66,157,181,701,
S002,2024-09-26T15:56:00,Weightlifting,13.65,25,116,179,211,
S002,2024-09-28T15:44:00,Running,4.89,10,159,157,80,8.19
S002,2024-09-29T09:07:00,Yoga,12.4,18,149,184,138,7.37
S002,2024-09-30T06:12:00,Running,9.15,29,133,174,171,3.77
S002,2024-10-02T12:16:00,Weightlifting,9.75,29,130,154,170,5.52
S002,2024-10-03T14:07:00,Running,10.05,40,143,183,264,4.39
S002,2024-10-05T07:15:00,Swimming,11.22,41,127,164,349,7.37
S002,2024-10-06T15:29:00,Cycling,11.22,26,144,166,226,1.32
S002,2024-10-07T06:17:00,Cycling,3.42,57,157,179,520,5.09
S002,2024-10-08T15:57:00,Cycling,7.34,56,162,159,396,
S002,2024-10-09T09:37:00,HIIT,3.53,33,146,163,255,
S002,2024-10-10T15:09:00,Yoga,4.59,10,125,178,80,
S002,2024-10-13T18:51:00,Swimming,6.77,46,147,160,374,
S002,2024-10-16T07:01:00,HIIT,13.28,31,161,167,221,2.61
S002,2024-10-18T08:50:00,Basketball,7.75,56,158,162,517,5.49
S002,2024-10-20T10:44:00,Yoga,8.57,57,143,153,413,8.6
S002,2024-10-22T06:07:00,HIIT,12.46,63,132,161,606,
S002,2024-10-23T17:49:00,Cycling,8.41,36,149,177,210,4.29
S002,2024-10-29T12:17:00,Running,12.3,25,153,174,156,
S002,2024-11-01T18:43:00,Swimming,9.77,31,160,179,147,
S002,2024-11-03T10:04:00,Running,15.06,57,144,174,481,
S002,2024-11-05T08:30:00,Weightlifting,10.82,14,151,156,132,
S002,2024-11-06T19:33:00,Swimming,14.8,42,130,181,277,2.08
S002,2024-11-08T15:08:00,Basketball,6.28,32,131,187,263,
S002,2024-11-10T15:59:00,Cycling,12.31,28,177,168,193,6.64
S002,2024-11-12T11:36:00,Cycling,5.55,38,144,161,327,
S002,2024-11-16T14:19:00,Running,2,54,153,165,384,5.0
S002,2024-11-17T14:21:00,Swimming,14.36,39,135,159,276,9.65
S002,2024-11-19T13:21:00,Swimming,3.45,22,153,177,228,
S002,2024-11-20T11:05:00,Weightlifting,10.58,29,133,183,250,5.82
S002,2024-11-21T13:43:00,Swimming,16.37,60,143,196,416,
S002,2024-11-22T06:58:00,Swimming,6.59,25,135,174,222,
S002,2024-11-23T19:35:00,Running,7.16,10,173,174,111,3.13
S002,2024-11-24T17:57:00,HIIT,11.09,33,108,179,312,
S002,2024-11-25T11:04:00,Yoga,3.49,44,140,166,227,7.39
S002,2024-11-29T14:31:00,Running,10.6,54,146,162,352,3.81
