student_id,workout_start_time,sport,workout_strain,duration_min,avg_heart_rate_bpm,max_heart_rate_bpm,calories_burned,distance_km
S001,2024-09-03T17:18:00,HIIT,9.29,52,108,163,372,6.87
S001,2024-09-04T16:31:00,HIIT,12.71,48,133,177,246,
S001,2024-09-05T13:40:00,Basketball,13.22,72,161,183,699,0
S001,2024-09-06T06:40:00,Cycling,9.47,57,136,163,523,5.7
S001,2024-09-08T15:39:00,Running,11.53,78,145,164,757,1.09
S001,2024-09-09T08:40:00,HIIT,14.1,67,154,162,445,8.01
S001,2024-09-12T14:01:00,Cycling,12.44,52,128,166,537,
S001,2024-09-13T12:40:00,Yoga,10.54,72,129,177,461,
S001,2024-09-18T13:56:00,Cycling,15.31,68,120,184,504,
S001,2024-09-19T07:28:00,Yoga,15.67,75,142,181,619,6.66
S001,2024-09-21T19:06:00,Basketball,18.05,66,132,182,517,5.15
S001,2024-09-22T10:59:00,Running,13.44,70,134,165,429,
S001,2024-09-23T16:47:00,Weightlifting,15.68,70,165,172,515,
S001,2024-09-24T16:07:00,Weightlifting,11.47,40,135,175,356,
S001,2024-09-26T11:17:00,Cycling,13.41,78,165,164,563,
S001,2024-09-28T16:03:00,Running,12.09,68,141,167,577,
S001,2024-10-03T09:45:00,Basketball,11.4,76,131,159,793,4.45
S001,2024-10-04T13:06:00,HIIT,14.94,34,132,183,277,2.76
S001,2024-10-05T11:25:00,Cycling,14.31,58,133,156,507,0.98
S001,2024-10-06T13:54:00,Cycling,10.48,67,137,179,430,3.92
S001,2024-10-08T10:34:00,HIIT,11.88,63,127,176,418,3.26
S001,2024-10-09T15:27:00,Basketball,10.31,88,159,168,594,
S001,2024-10-14T07:52:00,HIIT,16.0,54,132,181,613,
S001,2024-10-15T12:20:00,HIIT,14.46,41,137,167,337,6.07
S001,2024-10-20T13:12:00,Cycling,11.89,85,135,162,425,
S001,2024-10-22T07:37:00,Running,10.42,79,138,161,539,5.43
S001,2024-10-25T07:55:00,Weightlifting,12.06,26,125,175,189,3.62
S001,2024-10-26T16:11:00,HIIT,14.13,51,153,178,484,3.67
S001,2024-10-27T06:04:00,Swimming,14.78,70,134,186,580,0
S001,2024-10-28T13:57:00,Basketball,15.72,55,128,162,262,2.98
S001,2024-10-30T06:36:00,HIIT,13.52,67,156,174,478,2.87
S001,2024-10-31T17:23:00,Running,14.45,84,137,148,518,
S001,2024-11-02T10:29:00,Yoga,15.42,46,168,180,431,6.19
S001,2024-11-04T10:39:00,Running,9.79,45,155,163,434,5.15
S001,2024-11-06T10:18:00,Cycling,8.62,98,173,175,783,1.78
S001,2024-11-07T06:42:00,Weightlifting,11.28,67,148,157,523,5.81
S001,2024-11-09T19:16:00,Running,14.15,74,139,156,746,3.25
S001,2024-11-10T09:31:00,Cycling,14.75,88,149,151,676,
S001,2024-11-12T18:24:00,Cycling,13.66,17,141,161,103,
S001,2024-11-15T06:10:00,HIIT,12.36,93,130,175,736,1.66
S001,2024-11-16T08:33:00,Basketball,12.0,49,129,173,410,
S001,2024-11-17T14:40:00,Weightlifting,10.43,72,138,180,541,6.14
S001,2024-11-18T12:29:00,Basketball,11.03,83,153,167,580,5.31
S001,2024-11-21T07:00:00,HIIT,9.78,67,140,174,563,5.31
S001,2024-11-22T15:42:00,Basketball,14.78,72,141,173,714,
S001,2024-11-24T18:57:00,Swimming,10.86,56,104,159,552,
S001,2024-11-25T10:49:00,HIIT,10.44,85,132,165,501,4.84
S001,2024-11-26T06:16:00,Basketball,17.13,79,146,169,757,7.47
S001,2024-11-27T18:27:00,Cycling,11.29,57,140,166,427,4.97
S001,2024-11-28T06:57:00,HIIT,13.44,61,114,178,597,4.2
